DEPTH,Gamma Ray - Corrected gAPI,Resistivity Phase - Corrected - 2MHz ohm.m,Bulk Density - Compensated kg/m3,Neutron Porosity (Sandstone) Euc,Corrected Drilling Exponent unitless,ROP for the Bit - Distance Over Time (On Bottom) m/s,Chrom 1 Total Gas Euc,Surface Torque Average N.m,Weight On Bit N,Mechanical Specific Energy Pa,28 Stick Slip RPM Average RPM,Mud Weight In kg/m3,ECD at Bit kg/m3,Annular Pressure Pa,PHI_COMBINED,PREDICTED_PORE_PRESSURE_PSI,FLUID_CLASS
0.0,60.448,1.37185,1630.0,0.871548,0.003751445561647415,0.0057943265499999,0.0,-2362.3985595703125,109691.01042318344,864174350.048809,0.0,0.0,0.0,4419790.0,0.4,0.0,Background
0.433721247386126,60.448,1.37185,1630.0,0.871548,0.0037435851991176605,0.0057943265499999,0.0,-2361.7503509521484,109688.27085137367,864174351.3084011,0.0,0.0,0.0,4419790.0,0.4,9.811003048518957,Background
0.867442494772252,60.448,1.37185,1630.0,0.871548,0.003735726699233055,0.0057943265499999,0.0,-2361.1021118164062,109685.53127932549,864174352.5679932,0.0,0.0,0.0,4419790.0,0.4,19.622006097037914,Background
1.301163742158378,60.448,1.37185,1630.0,0.871548,0.0037278663367033005,0.0057943265499999,0.0,-2360.453872680664,109682.79170680046,864174353.8275853,0.0,0.0,0.0,4419790.0,0.4,29.433009145556873,Background
1.734884989544504,60.448,1.37185,1630.0,0.871548,0.003720007836818695,0.0057943265499999,0.0,-2359.805633544922,109680.05213451385,864174355.0871775,0.0,0.0,0.0,4419790.0,0.4,39.244012194075836,Background
2.16860623693063,60.448,1.37185,1630.0,0.871548,0.0037121493369340897,0.0057943265499999,0.0,-2359.1574096679688,109677.31256246567,864174356.3467696,0.0,0.0,0.0,4419790.0,0.4,49.05501524259479,Background
2.602327484316756,60.448,1.37185,1630.0,0.871548,0.003704288974404335,0.0057943265499999,0.0,-2358.5091552734375,109674.5729906559,864174357.6063613,0.0,0.0,0.0,4419790.0,0.4,58.86601829111375,Background
3.036048731702882,60.448,1.37185,1630.0,0.871548,0.0036964286118745804,0.0057943265499999,0.0,-2357.8609161376953,109671.83341765404,864174358.8659537,0.0,0.0,0.0,4419790.0,0.4,68.6770213396327,Background
3.469769979089008,60.448,1.37185,1630.0,0.871548,0.003688570111989975,0.0057943265499999,0.0,-2357.212692260742,109669.09384584427,864174360.1255457,0.0,0.0,0.0,4419790.0,0.4,78.48802438815166,Background
3.903491226475134,60.448,1.37185,1630.0,0.871548,0.0036807116121053696,0.0057943265499999,0.0,-2356.564468383789,109666.3542740345,864174361.3851378,0.0,0.0,0.0,4419790.0,0.4,88.29902743667061,Background
4.33721247386126,60.448,1.37185,1630.0,0.871548,0.003672851249575615,0.0057943265499999,0.0,-2355.9161987304688,109663.6147017479,864174362.6447296,0.0,0.0,0.0,4419790.0,0.4,98.11003048518955,Background
4.770933721247386,60.448,1.37185,1630.0,0.871548,-0.00024040043354034424,0.0057943265499999,0.0,-1237.968521118164,255489.29506731033,312649737.57696354,0.0,0.0,0.0,28571139.408141375,0.4,107.92103353370851,Background
5.204654968633512,60.448,1.37185,1630.0,0.871548,0.0036651398986577988,0.0057943265499999,0.0,-2355.8480072021484,109491.83793139458,864751213.4961678,0.0,0.0,0.0,4394530.0,0.4,117.73203658222747,Background
5.638376216019638,60.448,1.37185,1630.0,0.871548,-0.00026270002126693726,0.0057943265499999,0.0,-1236.7430725097656,255483.26386737823,312649740.0896336,0.0,0.0,0.0,28571139.41961155,0.4,127.54303963074642,Background
6.072097463405764,60.448,1.37185,1630.0,0.871548,0.0036414116621017456,0.0057943265499999,0.0,-2353.323272705078,109652.65641283989,864174367.6830981,0.0,0.0,0.0,4419790.0,0.4,137.35404267926538,Background
6.50581871079189,60.448,1.37185,1630.0,0.871548,-0.0002850014716386795,0.0057943265499999,0.0,-1235.517593383789,255477.23266720772,312649742.6023036,0.0,0.0,0.0,28571139.431081716,0.4,147.16504572778433,Background
6.939539958178016,60.448,1.37185,1630.0,0.871548,0.00361768901348114,0.0057943265499999,0.0,-2350.799026489258,109813.40905976295,863597750.2343723,0.0,0.0,0.0,4445040.0,0.4,156.9760487763033,Background
7.373261205564142,60.448,1.37185,1630.0,0.871548,0.0036098305135965347,0.0057943265499999,0.0,-2350.1507720947266,109810.66948747635,863597751.4939642,0.0,0.0,0.0,4445040.0,0.4,166.78705182482224,Background
7.806982452950268,60.448,1.37185,1630.0,0.871548,0.00360197015106678,0.0057943265499999,0.0,-2349.5025482177734,109807.92991566658,863597752.7535563,0.0,0.0,0.0,4445040.0,0.4,176.5980548733412,Background
8.240703700336393,60.448,1.37185,1630.0,0.871548,0.0035941116511821747,0.0057943265499999,0.0,-2348.8543090820312,109805.19034337997,863597754.0131483,0.0,0.0,0.0,4445040.0,0.4,186.40905792186012,Background
8.67442494772252,60.448,1.37185,1630.0,0.871548,0.00358625128865242,0.0057943265499999,0.0,-2348.206069946289,109802.45077109337,863597755.2727404,0.0,0.0,0.0,4445040.0,0.4,196.22006097037908,Background
9.108146195108645,60.448,1.37185,1630.0,0.871548,0.0035783927887678146,0.0057943265499999,0.0,-2347.557846069336,109799.7111992836,863597756.5323324,0.0,0.0,0.0,4445040.0,0.4,206.03106401889804,Background
9.541867442494771,60.448,1.37185,1630.0,0.871548,0.00357053242623806,0.0057943265499999,0.0,-2346.9096069335938,109796.97162675858,863597757.7919246,0.0,0.0,0.0,4445040.0,0.4,215.842067067417,Background
